class,intensity
Grass,128.6726188659668
Bark,148.5143585205078
Straw,156.77165603637695
Herringbone weave,173.56531524658203
Herringbone weave,145.6593132019043
Pressed calf leather,128.8648681640625
Beach sand,155.70149993896484
Water,161.40824508666992
Wood grain,178.59953689575195
Raffia,158.03188705444336
Pigskin,157.57536697387695
Brick wall,158.18170547485352
Plastic bubbles,111.38037490844727
Grass,127.80732727050781
Bark,127.63326263427734
Straw,127.65814590454102
Herringbone weave,129.9838409423828
Woolen cloth,127.76752853393555
Pressed calf,127.85372543334961
Beach sand,129.4033660888672
Water,130.08386611938477
Wood grain,128.89748764038086
Raffia,127.808837890625
Pigskin,122.7092399597168
Brick wall,128.12401962280273
Plastic bubbles,128.17469024658203
Grass,162.11478233337402
Bark,167.6842498779297
Straw,175.23250198364258
Woolen cloth,83.34253025054932
Herringbone weave,111.5109052658081
Pressed calf leather,153.94068431854248
Beach sand,191.28450298309326
Water,182.04189014434814
Wood grain,223.5135087966919
Raffia,203.68011093139648
Pigskin,184.52797508239746
Brick wall,202.23677349090576
Plastic bubbles,158.6464204788208
Brick wall,103.43159484863281
Wood shingle roof,128.68907165527344
Wood shingle roof,121.44734001159668
Brick wall,90.03416633605957
Tile roof,108.64274024963379
Wood fence,101.32060241699219
Metal grates,133.85794353485107
Brick wall,128.0932846069336
Brick wall,100.38677024841309
Grass,91.8995304107666
Sand,160.00879859924316
Sand,167.95168209075928
Brick wall,141.97256469726562
Hexagonal hole array,162.38093948364258
Rough wall,184.6065902709961
Sand,212.81732940673828
Gravel,199.22177505493164
Brick wall,106.65591812133789
Grass,93.97178649902344
USC texture mosaic #1,127.24076843261719
USC texture mosaic #2,127.38835906982422
USC texture mosaic #2 (info),144.3056640625
USC texture mosaic #3,129.9091911315918
USC texture mosaic #3b,137.35924911499023
USC texture mosaic #3 (info),130.44309616088867
