class,h1,h2,h3,v1,v2,v3,d1,d2,d3
Raffia,37.100283,30.285731,22.491753,14.618243,10.536843,13.534891,1.217875,0.601882,0.823318
Pigskin,31.538407,14.883174,16.820640,10.981914,5.391800,5.486444,2.761279,0.844505,0.733628
Brick wall,25.016071,11.524202,5.498396,33.209691,21.409831,40.166668,5.804152,0.812219,0.260417
Plastic bubbles,28.976449,18.125525,16.580804,23.200458,11.843695,15.137873,4.252355,1.555953,1.543791
Grass,139.971787,77.934646,50.148516,237.682459,113.878500,67.989322,24.722283,12.665283,9.325571
Bark,96.532947,53.261207,45.750218,116.544924,73.806519,98.199042,15.746786,6.068842,5.521300
Straw,112.622129,71.080336,36.361572,115.551159,62.768591,40.299748,28.815346,17.379940,10.300566
Herringbone weave,150.509596,120.020442,48.192657,241.994641,132.007943,34.986150,29.382283,9.498734,26.779680
Woolen cloth,182.981255,60.216534,59.566516,271.213524,70.443053,71.478311,81.535684,11.070451,4.816586
Pressed calf,126.911566,49.308243,26.578945,380.031140,174.010655,132.562624,50.303001,12.559068,8.230524
Grass,70.098336,41.818374,27.099161,113.687397,56.662566,35.281875,10.804644,6.064112,4.767023
Beach sand,187.012643,99.420669,69.990629,213.571712,90.052041,64.714354,40.120225,12.008153,9.655605
Water,44.103567,15.059965,18.616614,326.572587,294.604803,125.685292,20.329858,2.665804,3.809047
Wood grain,32.564086,12.517956,7.672017,409.614838,271.821874,181.284536,9.262372,1.696052,1.119504
Raffia,180.483215,149.995566,125.839879,104.580935,74.294324,93.184207,9.437136,4.264715,5.634237
Pigskin,215.026268,92.014440,82.735291,133.847583,63.636308,63.431984,34.609408,9.560107,8.103513
Brick wall,124.515106,34.512144,17.354466,230.235667,100.180049,164.861795,55.380977,7.117218,1.891581
Plastic bubbles,94.998594,56.336544,55.891247,86.303425,42.561503,53.749437,17.066002,5.757228,5.522613
Grass,13.899896,13.114404,21.771879,14.465553,18.390397,34.657356,4.515615,0.856856,2.545013
Bark,11.654642,7.623913,13.023773,11.341551,9.323628,21.506614,4.644114,0.612238,1.028027
Straw,6.037871,1.692961,2.379670,10.084742,15.931744,38.446069,3.966471,0.332452,0.589501
Bark,39.735316,25.052937,21.330714,40.250319,28.686431,41.142245,4.805811,1.944964,2.130771
Woolen cloth,32.484938,11.977538,10.122874,49.209103,20.498575,16.161772,11.635305,2.555336,1.503269
Herringbone weave,23.354809,14.449875,38.290062,27.791153,21.470805,49.456167,10.769903,1.291995,1.606321
Pressed calf leather,11.148552,6.520637,9.738902,17.766891,16.783217,32.710449,4.870099,0.867727,1.497431
Beach sand,6.552786,4.392866,9.059589,6.478437,4.652183,9.087061,3.575248,0.332186,0.644227
Water,5.569422,0.725842,0.252597,5.350695,1.305958,4.279967,4.040264,0.241854,0.043493
Wood grain,3.690239,0.585665,0.363144,6.797317,9.521007,22.862199,2.609241,0.153302,0.058175
Raffia,6.112675,3.765744,7.740630,4.665197,2.143698,4.858683,3.167866,0.197091,0.152069
Pigskin,8.641854,5.167326,7.173138,6.279054,2.770168,4.389532,3.786110,0.409482,0.461460
Brick wall,10.738520,4.122244,3.023316,10.575384,6.659196,11.582582,3.953070,0.631083,0.412286
Plastic bubbles,9.268166,5.108234,9.174800,7.931401,4.392582,8.057105,4.376310,0.494821,0.710057
Straw,38.826964,25.480926,12.497701,30.080434,16.913890,11.343556,7.324675,4.281413,2.637959
Brick wall,11.090966,8.615451,20.181978,8.344992,2.999498,2.265383,3.074329,0.390960,0.415480
Wood shingle roof,16.097262,19.031897,54.710092,7.361789,4.261011,6.442837,2.911791,0.304165,0.402642
Wood shingle roof,9.866209,7.184948,19.132180,9.717547,3.498138,3.989129,2.988880,0.251504,0.204112
Brick wall,5.484208,1.972692,3.554638,3.404988,0.819891,1.679136,2.118810,0.116902,0.026930
Tile roof,15.237138,11.563502,13.546898,5.022760,1.547013,2.208745,2.738556,0.344682,0.379521
Wood fence,5.343980,1.613627,1.965593,6.533438,4.463571,9.386426,2.602313,0.176442,0.083098
Metal grates,7.852540,3.576142,6.914834,4.660403,0.685223,0.973726,3.653381,0.222023,0.222666
Brick wall,3.815868,1.424677,2.742848,3.148430,3.317241,12.583844,1.687395,0.110256,0.034592
Brick wall,30.800267,10.221819,10.850249,35.327460,23.230317,46.848311,9.010616,0.783126,0.142122
Grass,13.865005,7.479504,6.918742,19.845887,12.317569,9.147252,4.054014,1.217721,1.013549
Herringbone weave,38.902078,26.900735,10.933741,37.981697,18.205822,5.395133,5.781684,1.594797,3.791471
Sand,27.056882,16.772099,12.542586,33.665742,21.293567,10.615292,3.901266,2.052256,1.544045
Sand,23.373289,13.090723,12.763297,20.794372,14.503567,9.251824,3.981075,1.364868,1.428882
Brick wall,2.948313,1.770501,3.406407,3.802722,4.521131,9.444332,1.859915,0.109678,0.062652
Hexagonal hole array,77.088591,114.883839,330.948684,83.041007,106.940438,241.241391,13.522152,5.415854,23.604367
Rough wall,8.532002,3.735335,5.837329,15.103792,9.771891,17.763788,3.250366,0.791608,0.842290
Sand,27.706199,14.477427,8.420054,21.766579,11.038984,6.913493,3.692775,1.542134,1.227621
Gravel,6.313559,3.699761,10.992922,5.525074,6.266195,14.771815,1.390401,0.226590,0.709918
Brick wall,5.938675,2.030482,2.268554,4.374968,0.574540,0.192000,2.794391,0.213980,0.030239
Grass,14.316960,6.559018,5.144527,27.275879,15.508391,10.493280,4.785866,1.401375,1.013378
USC texture mosaic #1,162.313421,71.900090,52.783789,288.679571,152.507815,98.919347,37.494020,9.547515,7.089320
Herringbone weave,29.388311,13.177254,9.668518,30.416579,8.217437,8.515656,8.835945,1.246427,0.561962
USC texture mosaic #2,160.298553,68.540551,51.443712,301.838609,159.215830,99.532940,40.523134,9.731521,7.039067
USC texture mosaic #2 (info),27.933975,13.605147,18.271740,20.643303,9.864837,12.815771,0.218987,0.057637,0.118270
USC texture mosaic #3,145.502032,69.774488,53.416562,280.892564,158.462171,99.768782,38.249931,8.842152,6.566956
USC texture mosaic #3b,7.861174,3.382665,5.218722,12.896916,5.716021,9.341576,2.290815,0.248503,0.207170
USC texture mosaic #3 (info),137.541221,63.899332,50.511568,282.059694,159.058654,100.548964,38.366294,8.866839,6.570467
Pressed calf leather,41.928555,17.750147,8.866246,111.603452,48.814420,34.250304,14.653471,3.665169,2.221222
Beach sand,34.280401,20.283987,12.339617,27.283377,11.761980,8.548402,4.639709,1.559931,1.266113
Water,13.310414,8.762254,4.174532,8.941656,8.681582,3.751247,0.565995,0.072157,0.109981
Wood grain,17.368872,11.333564,5.100965,60.215237,39.557739,22.933201,0.659374,0.150979,0.109587
